Taxonomy,sample,relab,timepoint,mouse_id
Ruminococcaceae,D6M33,0.0129605184207368,D6,M33
Muribaculaceae,D6M34,0.2432497299892,D6,M34
Bacteroidaceae,D6M34,0.366254650186007,D6,M34
Lachnospiraceae,D6M34,0.15260610424417,D6,M34
Lactobacillaceae,D6M34,0.046481859274371,D6,M34
Erysipelotrichaceae,D6M34,0.0245209808392336,D6,M34
Akkermansiaceae,D6M34,0.000520020800832,D6,M34
Rikenellaceae,D6M34,0.0909636385455418,D6,M34
Deferribacteraceae,D6M34,0.0064002560102404,D6,M34
Oscillospiraceae,D6M34,0.0168406736269451,D6,M34
Ruminococcaceae,D6M34,0.0142005680227209,D6,M34
Muribaculaceae,D6M35,0.22476899075963,D6,M35
Bacteroidaceae,D6M35,0.430257210288412,D6,M35
Lachnospiraceae,D6M35,0.0863234529381175,D6,M35
Lactobacillaceae,D6M35,0.0538021520860834,D6,M35
Erysipelotrichaceae,D6M35,0.0166406656266251,D6,M35
Akkermansiaceae,D6M35,0.0023200928037121,D6,M35
Rikenellaceae,D6M35,0.0457218288731549,D6,M35
Deferribacteraceae,D6M35,0.0044401776071042,D6,M35
Oscillospiraceae,D6M35,0.0798431937277491,D6,M35
Ruminococcaceae,D6M35,0.0165206608264331,D6,M35
Muribaculaceae,D6M36,0.423496939877595,D6,M36
Bacteroidaceae,D6M36,0.10164406576263,D6,M36
Lachnospiraceae,D6M36,0.126885075403016,D6,M36
Lactobacillaceae,D6M36,0.0892835713428537,D6,M36
Erysipelotrichaceae,D6M36,0.0412016480659226,D6,M36
Akkermansiaceae,D6M36,0.000640025601024,D6,M36
Rikenellaceae,D6M36,0.141725669026761,D6,M36
Deferribacteraceae,D6M36,0.0189207568302732,D6,M36
Oscillospiraceae,D6M36,0.0079203168126725,D6,M36
Ruminococcaceae,D6M36,0.0120804832193288,D6,M36
Muribaculaceae,D6M37,0.424056962278491,D6,M37
Bacteroidaceae,D6M37,0.109884395375815,D6,M37
Lachnospiraceae,D6M37,0.144925797031881,D6,M37
Lactobacillaceae,D6M37,0.0860434417376695,D6,M37
Erysipelotrichaceae,D6M37,0.0110004400176007,D6,M37
Akkermansiaceae,D6M37,0.0017600704028161,D6,M37
Rikenellaceae,D6M37,0.109644385775431,D6,M37
Deferribacteraceae,D6M37,0.0062802512100484,D6,M37
Oscillospiraceae,D6M37,0.0188407536301452,D6,M37
Ruminococcaceae,D6M37,0.0091203648145925,D6,M37
Muribaculaceae,D6M38,0.53818152726109,D6,M38
Bacteroidaceae,D6M38,0.169846793871755,D6,M38
Lachnospiraceae,D6M38,0.079163166526661,D6,M38
Lactobacillaceae,D6M38,0.0059202368094723,D6,M38
Erysipelotrichaceae,D6M38,0.0698027921116845,D6,M38
Akkermansiaceae,D6M38,0.001080043201728,D6,M38
