	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40
D5M31	0.2559018252730109	0.263798780351214	0.2655753810152406	0.6463331917276691	0.2776183183327333	0.1973189391575663	0.2173482595303812	0.2236266842673707	0.2476941185647425	0.2828004976199048	0.0	0.1188944989799592	0.2078266518660746	0.152863125725029	0.2362559814392576	0.3235756226249049	0.3147422756910276	0.311378141125645	0.3688496211848474	0.2934183739349573	0.3259462014480579	0.2779904484179367	0.2434916364654586	0.2443766138645545	0.2353315428617144	0.2405806996279851	0.275037490299612	0.2790086167446698	0.2501620504820192	0.2774445645825832	0.2732836601464058	0.4011332629305172	0.2289569790791631	0.2263164990599623	0.2622374026961078	0.2392720112804512	0.2014473546941877	0.2261628713148525	0.2441671634865395	0.321649388775551	0.2808329109164367	0.267815000600024	0.3584402512100484	0.316661895675827	0.2929136753470138	0.2823198847953918	0.2540122388895556	0.3254776111044442	0.2430602420096804
D5M32	0.2683345233809352	0.2844709048361934	0.2706035693427737	0.6632198063922559	0.3071010240409617	0.1809921812872514	0.1506316860674427	0.1668377983119324	0.1663603204128165	0.223760041601664	0.1188944989799592	0.0	0.1548817196687867	0.1076553678147125	0.1713827289091563	0.2854464974598984	0.2813985339413576	0.2760873278931157	0.3442871178847154	0.3070900208008321	0.3485377099083964	0.2975065170606825	0.2422278059122364	0.251239394775791	0.1811810864434577	0.2017801204048162	0.2152751590063603	0.2124264302572102	0.1841302860114404	0.2836107392295692	0.2402452090083603	0.393541844873795	0.2294085019400776	0.1903757734309372	0.237066227849114	0.2281099559982399	0.1673201432057282	0.1538241969678787	0.210672490099604	0.3043917544701788	0.2536852666106645	0.2490204488179527	0.342766261850474	0.2840142609704388	0.2536277047081883	0.2373222536901476	0.1802174006960278	0.2523495467818712	0.192520019600784
D5M33	0.2329266426657066	0.2442547429897196	0.3215955270210808	0.6139246725869035	0.2992612108484339	0.2268140289611584	0.2272996427857114	0.2092892815712628	0.2388885603424137	0.3089175683027321	0.2078266518660746	0.1548817196687867	0.0	0.1738258758350334	0.2607020756830273	0.207057511900476	0.2179816656666266	0.2101405776231049	0.2494507440297611	0.3253882403296131	0.3099347669906796	0.2929101784071363	0.2915433013320532	0.3261120580823233	0.2104961370454818	0.2121580879235169	0.2772728473138925	0.2438083883355334	0.2386308256330253	0.2532521732869315	0.1745741457658306	0.3490808916356653	0.2536154010160406	0.2230471462858514	0.1941292523700948	0.2323199599983999	0.2401989579583183	0.1988756090243609	0.2087850654026161	0.2555717260690427	0.2032257054282171	0.1948764978599144	0.2908070742829713	0.2329408408336333	0.2282532549301972	0.2298679519180767	0.2321962202488099	0.285328781551262	0.2342651186047442
D5M34	0.2654078815152606	0.2730380283211329	0.2706972738909556	0.6524841593663747	0.3177770734829393	0.190341305652226	0.1639749405976239	0.19326251050042	0.1893948761950478	0.2544188559542382	0.152863125725029	0.1076553678147125	0.1738258758350334	0.0	0.1769238209528381	0.2665602220088804	0.2547223508940358	0.2527407124284971	0.3233853362134485	0.3022891431657266	0.3329284367374695	0.284623758550342	0.2455055650226009	0.2537711696467859	0.1773852954118164	0.1830632509300372	0.2415248153926157	0.2030734185367414	0.1837840281611264	0.283040587623505	0.2313130757230289	0.3969331965278612	0.2296027985119405	0.2085829001160046	0.2627413460538421	0.2114455566222648	0.1795239073562942	0.1716509972398895	0.2036786671466858	0.293783761350454	0.2226950134005361	0.2472442713708548	0.3204314388575543	0.2568213564542582	0.2390222948917957	0.2209922436897476	0.1909990607624305	0.2558715084603384	0.2019768018720749
D5M35	0.3576353250130005	0.3730061302452099	0.3445241565662626	0.7246287619504781	0.406759369574783	0.280523138525541	0.211275037401496	0.2429383751350054	0.1655017228689148	0.1911360590423617	0.2362559814392576	0.1713827289091563	0.2607020756830273	0.1769238209528381	0.0	0.3483126145045802	0.3193535913436537	0.3182753474138965	0.4086854386175447	0.3946998499939999	0.4309944753790152	0.3817534717388695	0.3199261298451938	0.3186627477099084	0.2561597895915837	0.2693120272810912	0.168413786151446	0.2010086895475819	0.2223576575063002	0.3687093287731509	0.3201068018720749	0.4778133381335253	0.3145142381695268	0.2793348061922477	0.3499142137685507	0.3080317656706268	0.2388374966998679	0.2137340861634465	0.282583117724709	0.38353869074763	0.2981133949357974	0.3516458746349854	0.409874994199768	0.3114010540421617	0.3091134833393336	0.2755005040201608	0.1791778495139805	0.1793060458418336	0.2271402436097444
D5M37	0.2565778167126685	0.2378790943637745	0.3723364622584903	0.6374331993279732	0.3675588899555982	0.2485308320332813	0.2811474654986199	0.2534008572342894	0.2833943189727589	0.320599400376015	0.3235756226249049	0.2854464974598984	0.207057511900476	0.2665602220088804	0.3483126145045802	0.0	0.0945358766350654	0.0867219352774111	0.2389539841593664	0.3492117188687547	0.3203691347653907	0.3112335185407416	0.327520638825553	0.3830283563342533	0.2394158826353054	0.2288077723108924	0.2696893399735989	0.2419095307812312	0.248627555102204	0.2709559774390976	0.1661549201968078	0.3676649109964398	0.2773394603784151	0.2447747073882955	0.2662616656666266	0.2900591495659826	0.2927694479779191	0.2802440141605664	0.2695176379055162	0.2148319772790911	0.131570636825473	0.1622423532941317	0.2347983187327493	0.1698453194127765	0.2374209280371215	0.260016934677387	0.294591245649826	0.2988824108964358	0.2811583119324773
D5M38	0.223381252050082	0.2518764430577223	0.3177152014080563	0.6330440437617505	0.3419861982479299	0.2231370386815472	0.2375963114524581	0.2340272654906196	0.2456154734189367	0.2740738009520381	0.3147422756910276	0.2813985339413576	0.2179816656666266	0.2547223508940358	0.3193535913436537	0.0945358766350654	0.0	0.0208664938597544	0.2094265206608264	0.2988726373054922	0.2938691603664146	0.2597058334333373	0.2680883015320612	0.335968100324013	0.2018139945597824	0.1941791455658226	0.2415116952678107	0.1972430913236529	0.2120497695907836	0.2124455250210008	0.1339895951838073	0.3271351426057042	0.2131780939237569	0.1989071878875154	0.2333557222288892	0.2327251938077522	0.2435314848593943	0.2336732673306932	0.2227984971398855	0.2167917452698108	0.0887452614104563	0.1743093207728309	0.2279876335053402	0.1380338053522141	0.2038410624424977	0.2291164722588903	0.2513927569102764	0.2563234613384535	0.237546862674507
D5M39	0.223549444377775	0.2494554150166007	0.3229635489419576	0.6285932113284531	0.3469314776591063	0.225344408576343	0.2418861662466498	0.2398753450138006	0.2513167102684107	0.2793692695707828	0.311378141125645	0.2760873278931157	0.2101405776231049	0.2527407124284971	0.3182753474138965	0.0867219352774111	0.0208664938597544	0.0	0.201518777151086	0.2981447249889996	0.2907840977639105	0.259741922076883	0.2701661782471298	0.3393224296971879	0.2033507832313292	0.1953737037481499	0.2506382003280131	0.2027299643985759	0.215336895475819	0.2093539021560862	0.1283143497739909	0.3284046037841513	0.2149372370894836	0.2000153930157206	0.2322909188367535	0.2388526365054602	0.2488631997279891	0.2370093439737589	0.2258961058442337	0.2012273698947958	0.0790260646425856	0.159805691027641	0.2197835421416856	0.1381526909076363	0.2051236593463738	0.2321964714588583	0.2569268310732429	0.2626006884275371	0.2393443633745349
D5M40	0.2837884927397095	0.3183467422696908	0.3810620932837313	0.5791854954198168	0.3910421096843873	0.3154851482059282	0.3220347573902956	0.3312292067682707	0.354302513300532	0.3828980247209888	0.3688496211848474	0.3442871178847154	0.2494507440297611	0.3233853362134485	0.4086854386175447	0.2389539841593664	0.2094265206608264	0.201518777151086	0.0	0.3629438605544222	0.3044396691867674	0.3333679379175167	0.3347908004320172	0.3694071710868434	0.2885641833673347	0.282914422576903	0.3809584567382695	0.3108164178567142	0.3036079123164926	0.2839955466218649	0.1993757630305211	0.290965654626185	0.2854597671906876	0.2790714796591863	0.2886779691187647	0.3093985499419976	0.3140145253810152	0.3200466402656106	0.3012140181607264	0.2442768178727149	0.2364318508740349	0.2030179583183327	0.243626285851434	0.2711141185647426	0.2993231501260051	0.3306363670546822	0.3557036353454138	0.3682190839633585	0.3204186483459338
D6M31	0.162086302652106	0.1969292251690068	0.1521977303092123	0.5807141721668867	0.1933939745589823	0.19478876075043	0.2452248133925357	0.2754583203328133	0.3184616888675547	0.3121661126445058	0.2934183739349573	0.3070900208008321	0.3253882403296131	0.3022891431657266	0.3946998499939999	0.3492117188687547	0.2988726373054922	0.2981447249889996	0.3629438605544222	0.0	0.1755016744669786	0.0743157058282331	0.0999294455778231	0.1510228177127085	0.2141777003080123	0.2039208576343054	0.3367546513860554	0.2643618048721949	0.2427592251690067	0.1837655138205527	0.2733273182927317	0.3240888719548782	0.1505202804112164	0.1713276063042522	0.2396356966278651	0.2257221400856033	0.2136760794431777	0.2380041021640865	0.1979141649665986	0.2108581911276451	0.2705485623424937	0.2540180523220928	0.2417055126205048	0.2267592943717748	0.2137226137045481	0.2055857718308732	0.2848088887555502	0.327184401376055	0.2425808616344654
