	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40
D5M39	0.6075843033721349	0.6065042601704068	0.7755510220408817	0.7709108364334574	0.7278691147645906	0.59314372574903	0.6141445657826313	0.6062242489699587	0.6049441977679108	0.5602624104964199	0.6961878475139005	0.6851874074962998	0.6788671546861874	0.7219488779551182	0.6969078763150526	0.2076883075323013	0.0438017520700828	0.0	0.3742149685987439	0.6924676987079483	0.6633065322612904	0.6935477419096764	0.6737869514780591	0.7393895755830233	0.5381815272610905	0.530941237649506	0.4643385735429417	0.4716588663546542	0.5176607064282571	0.6551462058482339	0.4489379575183007	0.6933477339093563	0.6481059242369694	0.5537821512860515	0.6613064522580904	0.6854674186967479	0.625985039401576	0.6599463978559142	0.6994279771190848	0.5145405816232649	0.3139325573022921	0.4924996999879995	0.4742589703588143	0.4483379335173407	0.5512620504820193	0.6425857034281371	0.6533861354454178	0.5442217688707548	0.5655826233049323
D5M40	0.6271450858034321	0.687227489099564	0.7966318652746109	0.7837113484539382	0.7449897995919836	0.6394655786231449	0.6469058762350494	0.6299451978079124	0.5954638185527421	0.6196247849913996	0.7349093963758551	0.7115884635385415	0.607944317772711	0.7243089723588944	0.6898675947037881	0.4338973558942358	0.3782951318052722	0.3742149685987439	0.0	0.7137885515420617	0.6418656746269851	0.7144685787431497	0.687267490699628	0.7516300652026081	0.5362214488579543	0.577143085723429	0.5264610584423377	0.4464978599143965	0.5190607624304973	0.6788671546861874	0.4723388935557422	0.6764670586823472	0.6695067802712108	0.5911836473458938	0.6435457418296732	0.6841873674946998	0.6055442217688708	0.6446257850314012	0.688107524300972	0.546701868074723	0.4598583943357734	0.5069002760110405	0.5039801592063683	0.5125005000200008	0.5058202328093123	0.6142245689827593	0.6373054922196888	0.4950598023920957	0.5374614984599384
D6M31	0.3852154086163447	0.4651386055442217	0.3843353734149366	0.7624704988199528	0.5427417096683868	0.4739789591583663	0.5513020520820833	0.6008640345613825	0.6324652986119444	0.5587823512940517	0.5891035641425657	0.6380255210208409	0.7389495579823193	0.7296291851674067	0.7116684667386696	0.7463898555942238	0.7066282651306052	0.6924676987079483	0.7137885515420617	0.0	0.3775351014040561	0.2420096803872155	0.2983319332773311	0.3466138645545822	0.5596223848953958	0.5401816072642905	0.5694627785111405	0.5044601784071363	0.5325013000520021	0.3492539701588063	0.56286251450058	0.5018200728029121	0.3393735749429977	0.3724548981959278	0.5362214488579543	0.5815432617304692	0.4580183207328293	0.5387415496619865	0.5686227449097964	0.4008560342413697	0.6113844553782152	0.4886195447817912	0.4731389255570223	0.5375415016600664	0.6146245849833993	0.5996239849593984	0.5886235449417977	0.6063442537701508	0.5015800632025281
D6M32	0.4076563062522501	0.3854154166166647	0.485459418376735	0.7307892315692628	0.5343413736549462	0.4912196487859514	0.5145805832233289	0.5066602664106564	0.531341253650146	0.6078243129725189	0.641785671426857	0.640585623424937	0.6186647465898636	0.6655866234649386	0.6342653706148246	0.7229889195567822	0.6698667946717869	0.6633065322612904	0.6418656746269851	0.3775351014040561	0.0	0.3312132485299412	0.4122164886595464	0.3782951318052722	0.4476179047161887	0.4872194887795512	0.4894595783831353	0.4292971718868755	0.4635385415416617	0.4390175607024281	0.4182967318692748	0.5181407256290251	0.4352174086963478	0.3618144725789031	0.4100964038561542	0.5095003800152006	0.4120964838593544	0.4023360934437378	0.4633785351414056	0.4751390055602224	0.5117004680187207	0.5172206888275531	0.4336573462938518	0.5502620104804192	0.4731389255570223	0.4575383015320612	0.4979399175967038	0.5033401336053442	0.4026161046441858
D6M33	0.4358974358974359	0.4330973238929557	0.3624144965798632	0.7198687947517901	0.5672626905076203	0.5165406616264651	0.5525021000840034	0.5825433017320693	0.6048641945677827	0.6287851514060563	0.5493819752790111	0.5830633225329013	0.6864274570982839	0.6665466618664747	0.6445457818312732	0.7308292331693268	0.7036281451258051	0.6935477419096764	0.7144685787431497	0.2420096803872155	0.3312132485299412	0.0	0.2296091843673747	0.3480539221568863	0.5174606984279371	0.4829393175727029	0.5401416056642265	0.4781391255650226	0.4754590183607344	0.3965758630345213	0.531421256850274	0.4972998919956798	0.3254930197207888	0.4080563222528901	0.5089403576143046	0.5360214408576343	0.4519780791231649	0.5137405496219849	0.5026601064042562	0.469698787951518	0.5578623144925797	0.5055402216088644	0.4968198727949118	0.5608224328973159	0.5846633865354615	0.5636225449017961	0.5677027081083243	0.5895035801432057	0.5349413976559062
D6M34	0.5199807992319693	0.5173406936277452	0.3865754630185207	0.7429097163886555	0.6345853834153367	0.500420016800672	0.5512620504820193	0.547621904876195	0.5608624344973799	0.6219448777951118	0.531461258450338	0.5737829513180527	0.6636665466618665	0.6471458858354334	0.625465018600744	0.6980679227169087	0.6761470458818353	0.6737869514780591	0.687267490699628	0.2983319332773311	0.4122164886595464	0.2296091843673747	0.0	0.3943757750310012	0.499939997599904	0.4889795591823673	0.515980639225569	0.4511380455218208	0.4823392935717429	0.4044161766470658	0.5037801512060482	0.4958198327933117	0.3585743429737189	0.4488579543181727	0.4918196727869114	0.546301852074083	0.4397375895035801	0.5151406056242249	0.5423816952678107	0.5125005000200008	0.5483019320772831	0.5066602664106564	0.5645425817032681	0.5813432537301492	0.5551022040881636	0.5426217048681947	0.5126605064202568	0.5503420136805472	0.5094203768150726
D6M35	0.3771350854034161	0.4562982519300772	0.3181727269090764	0.7560302412096483	0.3538141525661026	0.5523420936837473	0.5679827193087723	0.5901436057442297	0.62542501700068	0.562582503300132	0.5684227369094764	0.578023120924837	0.6780671226849074	0.6521460858434337	0.6286251450058002	0.7574702988119525	0.7486299451978079	0.7393895755830233	0.7516300652026081	0.3466138645545822	0.3782951318052722	0.3480539221568863	0.3943757750310012	0.0	0.6261850474018961	0.5769430777231089	0.5640225609024361	0.5691827673106924	0.5688227529101164	0.4884595383815353	0.5878635145405816	0.592783711348454	0.4329773190927637	0.4620984839393576	0.5584223368934758	0.579583183327333	0.4751390055602224	0.5230609224368975	0.5796631865274611	0.5685027401096043	0.6363454538181528	0.5709428377135085	0.5962238489539582	0.6306652266090643	0.6371454858194328	0.6081443257730309	0.5583823352934117	0.6208648345933837	0.5009000360014401
D6M36	0.5870634825393015	0.5147805912236489	0.6629465178607145	0.7228689147565902	0.6158646345853834	0.2903716148645945	0.3253730149205968	0.3588543541741669	0.2672906916276651	0.3965358614344574	0.5963038521540862	0.5626625065002601	0.5597423896955879	0.6063042521700868	0.5799431977279091	0.5661826473058922	0.5403416136645466	0.5381815272610905	0.5362214488579543	0.5596223848953958	0.4476179047161887	0.5174606984279371	0.499939997599904	0.6261850474018961	0.0	0.2300492019680787	0.2984919396775871	0.2360494419776791	0.2377295091803672	0.5754230169206769	0.4131365254610184	0.6433857354294171	0.5339413576543062	0.4664986599463978	0.3254130165206608	0.4630985239409576	0.3454938197527901	0.3687747509900396	0.3342533701348054	0.4405376215048602	0.4745389815592624	0.4774590983639346	0.4317372694907796	0.50130005200208	0.2917716708668347	0.3493339733589343	0.3798951958078323	0.3369734789391576	0.3000520020800832
D6M37	0.5289411576463059	0.4519380775231009	0.6515860634425377	0.7146285851434058	0.6173446937877515	0.2736509460378415	0.2430897235889435	0.391735669426777	0.2947317892715708	0.3893755750230009	0.6102244089763591	0.5423816952678107	0.5539421576863075	0.6076243049721989	0.5332613304532181	0.5675027001080043	0.5324212968518741	0.530941237649506	0.577143085723429	0.5401816072642905	0.4872194887795512	0.4829393175727029	0.4889795591823673	0.5769430777231089	0.2300492019680787	0.0	0.3496539861594464	0.2685707428297132	0.1968878755150206	0.4972198887955518	0.3764950598023921	0.5705428217128685	0.4524180967238689	0.4364174566982679	0.4058562342493699	0.3415736629465178	0.3097323892955718	0.3532941317652706	0.297411896475859	0.3990959638385535	0.4825393015720629	0.437817512700508	0.4010960438417537	0.4544181767270691	0.3264130565222609	0.3180527221088843	0.3651346053842154	0.3329733189327573	0.3316532661306452
D6M38	0.5491819672786912	0.5116604664186567	0.5993439737589503	0.7534301372054882	0.609424376975079	0.3176127045081803	0.359414376575063	0.2420096803872155	0.3367734709388375	0.2989319572782911	0.59274370974839	0.5719028761150446	0.547381895275811	0.5985039401576063	0.5857434297371895	0.4476979079163166	0.4595383815352614	0.4643385735429417	0.5264610584423377	0.5694627785111405	0.4894595783831353	0.5401416056642265	0.515980639225569	0.5640225609024361	0.2984919396775871	0.3496539861594464	0.0	0.2227689107564302	0.2296091843673747	0.5539421576863075	0.4187367494699788	0.6383855354214168	0.5025801032041282	0.4129365174606984	0.391415656626265	0.4829393175727029	0.2938917556702268	0.3808952358094323	0.4474978999159966	0.4528981159246369	0.3925357014280571	0.4682587303492139	0.4294571782871315	0.4310572422896916	0.3218928757150286	0.423016920676827	0.3780551222048882	0.3040121604864194	0.2650906036241449
D6M39	0.5269410776431057	0.4797791911676467	0.6315852634105364	0.7292291691667667	0.6601464058562343	0.3303332133285331	0.3680947237889516	0.3588943557742309	0.3088523540941638	0.3457338293531741	0.6116644665786631	0.578223128925157	0.5329013160526421	0.6342253690147606	0.561902476099044	0.4954998199927997	0.4714188567542701	0.4716588663546542	0.4464978599143965	0.5044601784071363	0.4292971718868755	0.4781391255650226	0.4511380455218208	0.5691827673106924	0.2360494419776791	0.2685707428297132	0.2227689107564302	0.0	0.1682067282691307	0.4748589943597744	0.3100524020960838	0.5431417256690267	0.4423776951078043	0.3948957958318332	0.3814552582103284	0.4510980439217569	0.3091323652946118	0.3474538981559262	0.3898155926237049	0.3546141845673827	0.3500140005600224	0.3890555622224889	0.3484939397575903	0.3391335653426137	0.2388095523820952	0.3173726949077963	0.3580143205728229	0.1989679587183487	0.2826513060522421
D6M40	0.5362214488579543	0.4796591863674547	0.6223848953958159	0.7320292811712469	0.6517060682427297	0.2870914836593464	0.3009320372814912	0.3701348053922157	0.2892115684627385	0.3065722628905156	0.6042641705668227	0.5715028601144045	0.59394375775031	0.6166246649865995	0.5537421496859875	0.5267410696427857	0.514380575223009	0.5176607064282571	0.5190607624304973	0.5325013000520021	0.4635385415416617	0.4754590183607344	0.4823392935717429	0.5688227529101164	0.2377295091803672	0.1968878755150206	0.2296091843673747	0.1682067282691307	0.0	0.5212608504340174	0.3650146005840233	0.5911836473458938	0.469098763950558	0.4343373734949398	0.3988559542381695	0.4121364854594184	0.2864114564582583	0.3831753270130805	0.3382535301412056	0.3963758550342013	0.4096963878555142	0.4350974038961558	0.3547341893675747	0.4042161686467458	0.2701308052322093	0.374854994199768	0.3999759990399616	0.2734909396375855	0.3050122004880195
D9M31	0.4395775831033241	0.4734189367574703	0.5900636025441017	0.7565502620104804	0.6770270810832433	0.4979799191967679	0.4971398855954238	0.5509420376815073	0.5410616424656987	0.577103084123365	0.6277851114044561	0.5650626025041001	0.624904996199848	0.7161486459458378	0.6081043241729669	0.7265890635625425	0.6620264810592423	0.6551462058482339	0.6788671546861874	0.3492539701588063	0.4390175607024281	0.3965758630345213	0.4044161766470658	0.4884595383815353	0.5754230169206769	0.4972198887955518	0.5539421576863075	0.4748589943597744	0.5212608504340174	0.0	0.4109764390575623	0.2488499539981599	0.1998879955198207	0.3037721508860354	0.4910996439857594	0.484259370374815	0.4402176087043482	0.4419376775071003	0.5005800232009281	0.3785351414056562	0.5323412936517461	0.3432537301492059	0.4989799591983679	0.4508180327213088	0.5939837593503741	0.515540621624865	0.4891395655826233	0.5356214248569943	0.5415016600664027
